"database"	"field"	"section"	"label"	"example"
"uniprotkb"	"ft_metal"	"Function"	"Metal binding"	""
"uniprotkb"	"ft_np_bind"	"Function"	"Nucleotide binding"	""
"uniprotkb"	"cc_pathway"	"Function"	"Pathway"	""
"uniprotkb"	"ph_dependence"	"Function"	"pH dependence"	""
"uniprotkb"	"redox_potential"	"Function"	"Redox potential"	""
"uniprotkb"	"rhea"	"Function"	"Rhea ID"	""
"uniprotkb"	"ft_site"	"Function"	"Site"	""
"uniprotkb"	"temp_dependence"	"Function"	"Temperature dependence"	""
"uniprotkb"	"annotation_score"	"Miscellaneous"	"Annotation"	""
"uniprotkb"	"cc_caution"	"Miscellaneous"	"Caution"	""
"uniprotkb"	"comment_count"	"Miscellaneous"	"Comment Count"	""
"uniprotkb"	"feature_count"	"Miscellaneous"	"Features"	""
"uniprotkb"	"keywordid"	"Miscellaneous"	"Keyword ID"	""
"uniprotkb"	"keyword"	"Miscellaneous"	"Keywords"	""
"uniprotkb"	"cc_miscellaneous"	"Miscellaneous"	"Miscellaneous [CC]"	""
"uniprotkb"	"protein_existence"	"Miscellaneous"	"Protein existence"	""
"uniprotkb"	"reviewed"	"Miscellaneous"	"Reviewed"	""
"uniprotkb"	"tools"	"Miscellaneous"	"Tools"	""
"uniprotkb"	"uniparc_id"	"Miscellaneous"	"UniParc"	""
"uniprotkb"	"cc_interaction"	"Interaction"	"Interacts with"	""
"uniprotkb"	"cc_subunit"	"Interaction"	"Subunit structure[CC]"	""
"uniprotkb"	"cc_developmental_stage"	"Expression"	"Developmental stage"	""
"uniprotkb"	"cc_induction"	"Expression"	"Induction"	""
"uniprotkb"	"cc_tissue_specificity"	"Expression"	"Tissue specificity"	""
"uniprotkb"	"go_p"	"Gene Ontology (GO)"	"Gene ontology (biological process)"	""
"uniprotkb"	"go_c"	"Gene Ontology (GO)"	"Gene ontology (cellular component)"	""
"uniprotkb"	"go"	"Gene Ontology (GO)"	"Gene ontology (GO)"	""
"uniprotkb"	"go_f"	"Gene Ontology (GO)"	"Gene ontology (molecular function)"	""
"uniprotkb"	"go_id"	"Gene Ontology (GO)"	"Gene ontology IDs"	""
"uniprotkb"	"cc_allergen"	"Pathology & Biotech"	"Allergenic properties"	""
"uniprotkb"	"cc_biotechnology"	"Pathology & Biotech"	"Biotechnological use"	""
"uniprotkb"	"cc_disruption_phenotype"	"Pathology & Biotech"	"Disruption phenotype"	""
"uniprotkb"	"cc_disease"	"Pathology & Biotech"	"Involvement in disease"	""
"uniprotkb"	"ft_mutagen"	"Pathology & Biotech"	"Mutagenesis"	""
"uniprotkb"	"cc_pharmaceutical"	"Pathology & Biotech"	"Pharmaceutical use"	""
"uniprotkb"	"cc_toxic_dose"	"Pathology & Biotech"	"Toxic dose"	""
"uniprotkb"	"ft_intramem"	"Subcellular location"	"Intramembrane"	""
"uniprotkb"	"cc_subcellular_location"	"Subcellular location"	"Subcellular location[CC]"	""
"uniprotkb"	"ft_topo_dom"	"Subcellular location"	"Topological domain"	""
"uniprotkb"	"ft_transmem"	"Subcellular location"	"Transmembrane"	""
"uniprotkb"	"ft_chain"	"PTM / Processsing"	"Chain"	""
"uniprotkb"	"ft_crosslnk"	"PTM / Processsing"	"Cross-link"	""
"uniprotkb"	"ft_disulfid"	"PTM / Processsing"	"Disulfide bond"	""
"uniprotkb"	"ft_carbohyd"	"PTM / Processsing"	"Glycosylation"	""
"uniprotkb"	"ft_init_met"	"PTM / Processsing"	"Initiator methionine"	""
"uniprotkb"	"ft_lipid"	"PTM / Processsing"	"Lipidation"	""
"uniprotkb"	"ft_mod_res"	"PTM / Processsing"	"Modified residue"	""
"uniprotkb"	"ft_peptide"	"PTM / Processsing"	"Peptide"	""
"uniprotkb"	"cc_ptm"	"PTM / Processsing"	"Post-translational modification"	""
"uniprotkb"	"ft_propep"	"PTM / Processsing"	"Propeptide"	""
"uniprotkb"	"ft_signal"	"PTM / Processsing"	"Signal peptide"	""
"uniprotkb"	"ft_transit"	"PTM / Processsing"	"Transit peptide"	""
"uniprotkb"	"structure_3d"	"Structure"	"3D"	""
"uniprotkb"	"ft_strand"	"Structure"	"Beta strand"	""
"uniprotkb"	"ft_helix"	"Structure"	"Helix"	""
"uniprotkb"	"ft_turn"	"Structure"	"Turn"	""
"uniprotkb"	"lit_pubmed_id"	"Publications"	"PubMed ID"	""
"uniprotkb"	"date_created"	"Date of"	"Date of creation"	""
"uniprotkb"	"date_modified"	"Date of"	"Date of last modification"	""
"uniprotkb"	"date_sequence_modified"	"Date of"	"Date of last sequence modification"	""
"uniprotkb"	"version"	"Date of"	"Entry version"	""
"uniprotkb"	"ft_coiled"	"Family & Domains"	"Coiled coil"	""
"uniprotkb"	"ft_compbias"	"Family & Domains"	"Compositional bias"	""
"uniprotkb"	"cc_domain"	"Family & Domains"	"Domain[CC]"	""
"uniprotkb"	"ft_domain"	"Family & Domains"	"Domain[FT]"	""
"uniprotkb"	"ft_motif"	"Family & Domains"	"Motif"	""
"uniprotkb"	"protein_families"	"Family & Domains"	"Protein families"	""
"uniprotkb"	"ft_region"	"Family & Domains"	"Region"	""
"uniprotkb"	"ft_repeat"	"Family & Domains"	"Repeat"	""
"uniprotkb"	"ft_zn_fing"	"Family & Domains"	"Zinc finger"	""
"uniprotkb"	"xref_ccds"	"Sequence Databases"	"CCDS"	""
"uniprotkb"	"xref_embl"	"Sequence Databases"	"EMBL"	""
"uniprotkb"	"xref_pir"	"Sequence Databases"	"PIR"	""
"uniprotkb"	"xref_refseq"	"Sequence Databases"	"RefSeq"	""
"uniprotkb"	"xref_alphafolddb"	"3D Structure Databases"	"AlphaFoldDB"	""
"uniprotkb"	"xref_bmrb"	"3D Structure Databases"	"BMRB"	""
"uniprotkb"	"xref_pcddb"	"3D Structure Databases"	"PCDDB"	""
"uniprotkb"	"xref_pdb"	"3D Structure Databases"	"PDB"	""
"uniprotkb"	"xref_pdbsum"	"3D Structure Databases"	"PDBsum"	""
"uniprotkb"	"xref_sasbdb"	"3D Structure Databases"	"SASBDB"	""
"uniprotkb"	"xref_smr"	"3D Structure Databases"	"SMR"	""
"uniprotkb"	"xref_biogrid"	"Protein-Protein Interaction Databases"	"BioGRID"	""
"uniprotkb"	"xref_corum"	"Protein-Protein Interaction Databases"	"CORUM"	""
"uniprotkb"	"xref_complexportal"	"Protein-Protein Interaction Databases"	"ComplexPortal"	""
"uniprotkb"	"xref_dip"	"Protein-Protein Interaction Databases"	"DIP"	""
"uniprotkb"	"xref_elm"	"Protein-Protein Interaction Databases"	"ELM"	""
"uniprotkb"	"xref_intact"	"Protein-Protein Interaction Databases"	"IntAct"	""
"uniprotkb"	"xref_mint"	"Protein-Protein Interaction Databases"	"MINT"	""
"uniprotkb"	"xref_string"	"Protein-Protein Interaction Databases"	"STRING"	""
"uniprotkb"	"xref_bindingdb"	"Chemistry Databases"	"BindingDB"	""
"uniprotkb"	"xref_chembl"	"Chemistry Databases"	"ChEMBL"	""
"uniprotkb"	"xref_drugbank"	"Chemistry Databases"	"DrugBank"	""
"uniprotkb"	"xref_drugcentral"	"Chemistry Databases"	"DrugCentral"	""
"uniprotkb"	"xref_guidetopharmacology"	"Chemistry Databases"	"GuidetoPHARMACOLOGY"	""
"uniprotkb"	"xref_swisslipids"	"Chemistry Databases"	"SwissLipids"	""
"uniprotkb"	"xref_allergome"	"Protein Family/Group Databases"	"Allergome"	""
"uniprotkb"	"xref_cazy"	"Protein Family/Group Databases"	"CAZy"	""
"uniprotkb"	"xref_clae"	"Protein Family/Group Databases"	"CLAE"	""
"uniprotkb"	"xref_esther"	"Protein Family/Group Databases"	"ESTHER"	""
"uniprotkb"	"xref_imgt_gene-db"	"Protein Family/Group Databases"	"IMGT_GENE-DB"	""
"uniprotkb"	"xref_merops"	"Protein Family/Group Databases"	"MEROPS"	""
"uniprotkb"	"xref_moondb"	"Protein Family/Group Databases"	"MoonDB"	""
"uniprotkb"	"xref_moonprot"	"Protein Family/Group Databases"	"MoonProt"	""
"uniprotkb"	"xref_peroxibase"	"Protein Family/Group Databases"	"PeroxiBase"	""
"uniprotkb"	"xref_rebase"	"Protein Family/Group Databases"	"REBASE"	""
"uniprotkb"	"xref_tcdb"	"Protein Family/Group Databases"	"TCDB"	""
"uniprotkb"	"xref_unilectin"	"Protein Family/Group Databases"	"UniLectin"	""
"uniprotkb"	"xref_carbonyldb"	"Ptm Databases"	"CarbonylDB"	""
"uniprotkb"	"xref_depod"	"Ptm Databases"	"DEPOD"	""
"uniprotkb"	"xref_glyconnect"	"Ptm Databases"	"GlyConnect"	""
"uniprotkb"	"xref_glygen"	"Ptm Databases"	"GlyGen"	""
"uniprotkb"	"xref_metosite"	"Ptm Databases"	"MetOSite"	""
"uniprotkb"	"xref_phosphositeplus"	"Ptm Databases"	"PhosphoSitePlus"	""
"uniprotkb"	"xref_swisspalm"	"Ptm Databases"	"SwissPalm"	""
"uniprotkb"	"xref_unicarbkb"	"Ptm Databases"	"UniCarbKB"	""
"uniprotkb"	"xref_iptmnet"	"Ptm Databases"	"iPTMnet"	""
"uniprotkb"	"xref_biomuta"	"Genetic Variation Databases"	"BioMuta"	""
"uniprotkb"	"xref_dmdm"	"Genetic Variation Databases"	"DMDM"	""
"uniprotkb"	"xref_dbsnp"	"Genetic Variation Databases"	"dbSNP"	""
"uniprotkb"	"xref_compluyeast-2dpage"	"2D Gel Databases"	"COMPLUYEAST-2DPAGE"	""
"uniprotkb"	"xref_dosac-cobs-2dpage"	"2D Gel Databases"	"DOSAC-COBS-2DPAGE"	""
"uniprotkb"	"xref_ogp"	"2D Gel Databases"	"OGP"	""
"uniprotkb"	"xref_reproduction-2dpage"	"2D Gel Databases"	"REPRODUCTION-2DPAGE"	""
"uniprotkb"	"xref_swiss-2dpage"	"2D Gel Databases"	"SWISS-2DPAGE"	""
"uniprotkb"	"xref_ucd-2dpage"	"2D Gel Databases"	"UCD-2DPAGE"	""
"uniprotkb"	"xref_world-2dpage"	"2D Gel Databases"	"World-2DPAGE"	""
"uniprotkb"	"xref_cptac"	"Proteomic Databases"	"CPTAC"	""
"uniprotkb"	"xref_epd"	"Proteomic Databases"	"EPD"	""
"uniprotkb"	"xref_massive"	"Proteomic Databases"	"MassIVE"	""
"uniprotkb"	"xref_maxqb"	"Proteomic Databases"	"MaxQB"	""
"uniprotkb"	"xref_pride"	"Proteomic Databases"	"PRIDE"	""
"uniprotkb"	"xref_paxdb"	"Proteomic Databases"	"PaxDb"	""
"uniprotkb"	"xref_peptideatlas"	"Proteomic Databases"	"PeptideAtlas"	""
"uniprotkb"	"xref_promex"	"Proteomic Databases"	"ProMEX"	""
"uniprotkb"	"xref_proteomicsdb"	"Proteomic Databases"	"ProteomicsDB"	""
"uniprotkb"	"xref_topdownproteomics"	"Proteomic Databases"	"TopDownProteomics"	""
"uniprotkb"	"xref_jpost"	"Proteomic Databases"	"jPOST"	""
"uniprotkb"	"xref_abcd"	"Protocols And Materials Databases"	"ABCD"	""
"uniprotkb"	"xref_antibodypedia"	"Protocols And Materials Databases"	"Antibodypedia"	""
"uniprotkb"	"xref_cptc"	"Protocols And Materials Databases"	"CPTC"	""
"uniprotkb"	"xref_dnasu"	"Protocols And Materials Databases"	"DNASU"	""
"uniprotkb"	"xref_ensembl"	"Genome Annotation Databases"	"Ensembl"	""
"uniprotkb"	"xref_ensemblbacteria"	"Genome Annotation Databases"	"EnsemblBacteria"	""
"uniprotkb"	"xref_ensemblfungi"	"Genome Annotation Databases"	"EnsemblFungi"	""
"uniprotkb"	"xref_ensemblmetazoa"	"Genome Annotation Databases"	"EnsemblMetazoa"	""
"uniprotkb"	"xref_ensemblplants"	"Genome Annotation Databases"	"EnsemblPlants"	""
"uniprotkb"	"xref_ensemblprotists"	"Genome Annotation Databases"	"EnsemblProtists"	""
"uniprotkb"	"xref_geneid"	"Genome Annotation Databases"	"GeneID"	""
"uniprotkb"	"xref_gramene"	"Genome Annotation Databases"	"Gramene"	""
"uniprotkb"	"xref_kegg"	"Genome Annotation Databases"	"KEGG"	""
"uniprotkb"	"xref_mane-select"	"Genome Annotation Databases"	"MANE-Select"	""
"uniprotkb"	"xref_patric"	"Genome Annotation Databases"	"PATRIC"	""
"uniprotkb"	"xref_ucsc"	"Genome Annotation Databases"	"UCSC"	""
"uniprotkb"	"xref_vectorbase"	"Genome Annotation Databases"	"VectorBase"	""
"uniprotkb"	"xref_wbparasite"	"Genome Annotation Databases"	"WBParaSite"	""
"uniprotkb"	"xref_wbparasitetranscriptprotein"	"Genome Annotation Databases"	"WBParaSiteTranscriptProtein"	""
"uniprotkb"	"xref_arachnoserver"	"Organism-Specific Databases"	"ArachnoServer"	""
"uniprotkb"	"xref_araport"	"Organism-Specific Databases"	"Araport"	""
"uniprotkb"	"xref_cgd"	"Organism-Specific Databases"	"CGD"	""
"uniprotkb"	"xref_ctd"	"Organism-Specific Databases"	"CTD"	""
"uniprotkb"	"xref_conoserver"	"Organism-Specific Databases"	"ConoServer"	""
"uniprotkb"	"xref_disgenet"	"Organism-Specific Databases"	"DisGeNET"	""
"uniprotkb"	"xref_echobase"	"Organism-Specific Databases"	"EchoBASE"	""
"uniprotkb"	"xref_flybase"	"Organism-Specific Databases"	"FlyBase"	""
"uniprotkb"	"xref_genecards"	"Organism-Specific Databases"	"GeneCards"	""
"uniprotkb"	"xref_genereviews"	"Organism-Specific Databases"	"GeneReviews"	""
"uniprotkb"	"xref_hgnc"	"Organism-Specific Databases"	"HGNC"	""
"uniprotkb"	"xref_hpa"	"Organism-Specific Databases"	"HPA"	""
"uniprotkb"	"xref_legiolist"	"Organism-Specific Databases"	"LegioList"	""
"uniprotkb"	"xref_leproma"	"Organism-Specific Databases"	"Leproma"	""
"uniprotkb"	"xref_mgi"	"Organism-Specific Databases"	"MGI"	""
"uniprotkb"	"xref_mim"	"Organism-Specific Databases"	"MIM"	""
"uniprotkb"	"xref_maizegdb"	"Organism-Specific Databases"	"MaizeGDB"	""
"uniprotkb"	"xref_malacards"	"Organism-Specific Databases"	"MalaCards"	""
"uniprotkb"	"xref_niagads"	"Organism-Specific Databases"	"NIAGADS"	""
"uniprotkb"	"xref_opentargets"	"Organism-Specific Databases"	"OpenTargets"	""
"uniprotkb"	"xref_orphanet"	"Organism-Specific Databases"	"Orphanet"	""
"uniprotkb"	"xref_pharmgkb"	"Organism-Specific Databases"	"PharmGKB"	""
"uniprotkb"	"xref_pombase"	"Organism-Specific Databases"	"PomBase"	""
"uniprotkb"	"xref_pseudocap"	"Organism-Specific Databases"	"PseudoCAP"	""
"uniprotkb"	"xref_rgd"	"Organism-Specific Databases"	"RGD"	""
"uniprotkb"	"xref_sgd"	"Organism-Specific Databases"	"SGD"	""
"uniprotkb"	"xref_tair"	"Organism-Specific Databases"	"TAIR"	""
"uniprotkb"	"xref_tuberculist"	"Organism-Specific Databases"	"TubercuList"	""
"uniprotkb"	"xref_veupathdb"	"Organism-Specific Databases"	"VEuPathDB"	""
"uniprotkb"	"xref_vgnc"	"Organism-Specific Databases"	"VGNC"	""
"uniprotkb"	"xref_wormbase"	"Organism-Specific Databases"	"WormBase"	""
"uniprotkb"	"xref_xenbase"	"Organism-Specific Databases"	"Xenbase"	""
"uniprotkb"	"xref_zfin"	"Organism-Specific Databases"	"ZFIN"	""
"uniprotkb"	"xref_dictybase"	"Organism-Specific Databases"	"dictyBase"	""
"uniprotkb"	"xref_euhcvdb"	"Organism-Specific Databases"	"euHCVdb"	""
"uniprotkb"	"xref_nextprot"	"Organism-Specific Databases"	"neXtProt"	""
"uniprotkb"	"xref_genetree"	"Phylogenomic Databases"	"GeneTree"	""
"uniprotkb"	"xref_hogenom"	"Phylogenomic Databases"	"HOGENOM"	""
"uniprotkb"	"xref_inparanoid"	"Phylogenomic Databases"	"InParanoid"	""
"uniprotkb"	"xref_ko"	"Phylogenomic Databases"	"KO"	""
"uniprotkb"	"xref_oma"	"Phylogenomic Databases"	"OMA"	""
"uniprotkb"	"xref_orthodb"	"Phylogenomic Databases"	"OrthoDB"	""
"uniprotkb"	"xref_phylomedb"	"Phylogenomic Databases"	"PhylomeDB"	""
"uniprotkb"	"xref_treefam"	"Phylogenomic Databases"	"TreeFam"	""
"uniprotkb"	"xref_eggnog"	"Phylogenomic Databases"	"eggNOG"	""
"uniprotkb"	"xref_brenda"	"Enzyme And Pathway Databases"	"BRENDA"	""
"uniprotkb"	"xref_biocyc"	"Enzyme And Pathway Databases"	"BioCyc"	""
"uniprotkb"	"xref_pathwaycommons"	"Enzyme And Pathway Databases"	"PathwayCommons"	""
"uniprotkb"	"xref_plantreactome"	"Enzyme And Pathway Databases"	"PlantReactome"	""
"uniprotkb"	"xref_reactome"	"Enzyme And Pathway Databases"	"Reactome"	""
"uniprotkb"	"xref_sabio-rk"	"Enzyme And Pathway Databases"	"SABIO-RK"	""
"uniprotkb"	"xref_signor"	"Enzyme And Pathway Databases"	"SIGNOR"	""
"uniprotkb"	"xref_signalink"	"Enzyme And Pathway Databases"	"SignaLink"	""
"uniprotkb"	"xref_unipathway"	"Enzyme And Pathway Databases"	"UniPathway"	""
"uniprotkb"	"xref_biogrid-orcs"	"Miscellaneous Databases"	"BioGRID-ORCS"	""
"uniprotkb"	"xref_chitars"	"Miscellaneous Databases"	"ChiTaRS"	""
"uniprotkb"	"xref_evolutionarytrace"	"Miscellaneous Databases"	"EvolutionaryTrace"	""
"uniprotkb"	"xref_genewiki"	"Miscellaneous Databases"	"GeneWiki"	""
"uniprotkb"	"xref_genomernai"	"Miscellaneous Databases"	"GenomeRNAi"	""
"uniprotkb"	"xref_phi-base"	"Miscellaneous Databases"	"PHI-base"	""
"uniprotkb"	"xref_pro"	"Miscellaneous Databases"	"PRO"	""
"uniprotkb"	"xref_pharos"	"Miscellaneous Databases"	"Pharos"	""
"uniprotkb"	"xref_rnact"	"Miscellaneous Databases"	"RNAct"	""
"uniprotkb"	"xref_bgee"	"Gene Expression Databases"	"Bgee"	""
"uniprotkb"	"xref_cleanex"	"Gene Expression Databases"	"CleanEx"	""
"uniprotkb"	"xref_collectf"	"Gene Expression Databases"	"CollecTF"	""
"uniprotkb"	"xref_expressionatlas"	"Gene Expression Databases"	"ExpressionAtlas"	""
"uniprotkb"	"xref_genevisible"	"Gene Expression Databases"	"Genevisible"	""
"uniprotkb"	"xref_cdd"	"Family And Domain Databases"	"CDD"	""
"uniprotkb"	"xref_disprot"	"Family And Domain Databases"	"DisProt"	""
"uniprotkb"	"xref_gene3d"	"Family And Domain Databases"	"Gene3D"	""
"uniprotkb"	"xref_hamap"	"Family And Domain Databases"	"HAMAP"	""
"uniprotkb"	"xref_ideal"	"Family And Domain Databases"	"IDEAL"	""
"uniprotkb"	"xref_interpro"	"Family And Domain Databases"	"InterPro"	""
"uniprotkb"	"xref_panther"	"Family And Domain Databases"	"PANTHER"	""
"uniprotkb"	"xref_pirsf"	"Family And Domain Databases"	"PIRSF"	""
"uniprotkb"	"xref_prints"	"Family And Domain Databases"	"PRINTS"	""
"uniprotkb"	"xref_prosite"	"Family And Domain Databases"	"PROSITE"	""
"uniprotkb"	"xref_pfam"	"Family And Domain Databases"	"Pfam"	""
"uniprotkb"	"xref_prodom"	"Family And Domain Databases"	"ProDom"	""
"uniprotkb"	"xref_sfld"	"Family And Domain Databases"	"SFLD"	""
"uniprotkb"	"xref_smart"	"Family And Domain Databases"	"SMART"	""
"uniprotkb"	"xref_supfam"	"Family And Domain Databases"	"SUPFAM"	""
"uniprotkb"	"xref_tigrfams"	"Family And Domain Databases"	"TIGRFAMs"	""
