database	section	field	label
uniprotkb	Function	ft_np_bind	Nucleotide binding
uniprotkb	Function	cc_pathway	Pathway
uniprotkb	Function	ph_dependence	pH dependence
uniprotkb	Function	redox_potential	Redox potential
uniprotkb	Function	rhea	Rhea ID
uniprotkb	Function	ft_site	Site
uniprotkb	Function	temp_dependence	Temperature dependence
uniprotkb	Miscellaneous	annotation_score	Annotation
uniprotkb	Miscellaneous	cc_caution	Caution
uniprotkb	Miscellaneous	comment_count	Comment Count
uniprotkb	Miscellaneous	feature_count	Features
uniprotkb	Miscellaneous	keywordid	Keyword ID
uniprotkb	Miscellaneous	keyword	Keywords
uniprotkb	Miscellaneous	cc_miscellaneous	Miscellaneous [CC]
uniprotkb	Miscellaneous	protein_existence	Protein existence
uniprotkb	Miscellaneous	reviewed	Reviewed
uniprotkb	Miscellaneous	tools	Tools
uniprotkb	Miscellaneous	uniparc_id	UniParc
uniprotkb	Interaction	cc_interaction	Interacts with
uniprotkb	Interaction	cc_subunit	Subunit structure[CC]
uniprotkb	Expression	cc_developmental_stage	Developmental stage
uniprotkb	Expression	cc_induction	Induction
uniprotkb	Expression	cc_tissue_specificity	Tissue specificity
uniprotkb	Gene Ontology (GO)	go_p	Gene ontology (biological process)
uniprotkb	Gene Ontology (GO)	go_c	Gene ontology (cellular component)
uniprotkb	Gene Ontology (GO)	go	Gene ontology (GO)
uniprotkb	Gene Ontology (GO)	go_f	Gene ontology (molecular function)
uniprotkb	Gene Ontology (GO)	go_id	Gene ontology IDs
uniprotkb	Pathology & Biotech	cc_allergen	Allergenic properties
uniprotkb	Pathology & Biotech	cc_biotechnology	Biotechnological use
uniprotkb	Pathology & Biotech	cc_disruption_phenotype	Disruption phenotype
uniprotkb	Pathology & Biotech	cc_disease	Involvement in disease
uniprotkb	Pathology & Biotech	ft_mutagen	Mutagenesis
uniprotkb	Pathology & Biotech	cc_pharmaceutical	Pharmaceutical use
uniprotkb	Pathology & Biotech	cc_toxic_dose	Toxic dose
uniprotkb	Subcellular location	ft_intramem	Intramembrane
uniprotkb	Subcellular location	cc_subcellular_location	Subcellular location[CC]
uniprotkb	Subcellular location	ft_topo_dom	Topological domain
uniprotkb	Subcellular location	ft_transmem	Transmembrane
uniprotkb	PTM / Processsing	ft_chain	Chain
uniprotkb	PTM / Processsing	ft_crosslnk	Cross-link
uniprotkb	PTM / Processsing	ft_disulfid	Disulfide bond
uniprotkb	PTM / Processsing	ft_carbohyd	Glycosylation
uniprotkb	PTM / Processsing	ft_init_met	Initiator methionine
uniprotkb	PTM / Processsing	ft_lipid	Lipidation
uniprotkb	PTM / Processsing	ft_mod_res	Modified residue
uniprotkb	PTM / Processsing	ft_peptide	Peptide
uniprotkb	PTM / Processsing	cc_ptm	Post-translational modification
uniprotkb	PTM / Processsing	ft_propep	Propeptide
uniprotkb	PTM / Processsing	ft_signal	Signal peptide
uniprotkb	PTM / Processsing	ft_transit	Transit peptide
uniprotkb	Structure	structure_3d	3D
uniprotkb	Structure	ft_strand	Beta strand
uniprotkb	Structure	ft_helix	Helix
uniprotkb	Structure	ft_turn	Turn
uniprotkb	Publications	lit_pubmed_id	PubMed ID
uniprotkb	Date of	date_created	Date of creation
uniprotkb	Date of	date_modified	Date of last modification
uniprotkb	Date of	date_sequence_modified	Date of last sequence modification
uniprotkb	Date of	version	Entry version
uniprotkb	Family & Domains	ft_coiled	Coiled coil
uniprotkb	Family & Domains	ft_compbias	Compositional bias
uniprotkb	Family & Domains	cc_domain	Domain[CC]
uniprotkb	Family & Domains	ft_domain	Domain[FT]
uniprotkb	Family & Domains	ft_motif	Motif
uniprotkb	Family & Domains	protein_families	Protein families
uniprotkb	Family & Domains	ft_region	Region
uniprotkb	Family & Domains	ft_repeat	Repeat
uniprotkb	Family & Domains	ft_zn_fing	Zinc finger
uniprotkb	Sequence Databases	xref_ccds	CCDS
uniprotkb	Sequence Databases	xref_embl	EMBL
uniprotkb	Sequence Databases	xref_pir	PIR
uniprotkb	Sequence Databases	xref_refseq	RefSeq
uniprotkb	3D Structure Databases	xref_alphafolddb	AlphaFoldDB
uniprotkb	3D Structure Databases	xref_bmrb	BMRB
uniprotkb	3D Structure Databases	xref_pcddb	PCDDB
uniprotkb	3D Structure Databases	xref_pdb	PDB
uniprotkb	3D Structure Databases	xref_pdbsum	PDBsum
uniprotkb	3D Structure Databases	xref_sasbdb	SASBDB
uniprotkb	3D Structure Databases	xref_smr	SMR
uniprotkb	Protein-Protein Interaction Databases	xref_biogrid	BioGRID
uniprotkb	Protein-Protein Interaction Databases	xref_corum	CORUM
uniprotkb	Protein-Protein Interaction Databases	xref_complexportal	ComplexPortal
uniprotkb	Protein-Protein Interaction Databases	xref_dip	DIP
uniprotkb	Protein-Protein Interaction Databases	xref_elm	ELM
uniprotkb	Protein-Protein Interaction Databases	xref_intact	IntAct
uniprotkb	Protein-Protein Interaction Databases	xref_mint	MINT
uniprotkb	Protein-Protein Interaction Databases	xref_string	STRING
uniprotkb	Chemistry Databases	xref_bindingdb	BindingDB
uniprotkb	Chemistry Databases	xref_chembl	ChEMBL
uniprotkb	Chemistry Databases	xref_drugbank	DrugBank
uniprotkb	Chemistry Databases	xref_drugcentral	DrugCentral
uniprotkb	Chemistry Databases	xref_guidetopharmacology	GuidetoPHARMACOLOGY
uniprotkb	Chemistry Databases	xref_swisslipids	SwissLipids
uniprotkb	Protein Family/Group Databases	xref_allergome	Allergome
uniprotkb	Protein Family/Group Databases	xref_cazy	CAZy
uniprotkb	Protein Family/Group Databases	xref_clae	CLAE
uniprotkb	Protein Family/Group Databases	xref_esther	ESTHER
uniprotkb	Protein Family/Group Databases	xref_imgt_gene-db	IMGT_GENE-DB
uniprotkb	Protein Family/Group Databases	xref_merops	MEROPS
uniprotkb	Protein Family/Group Databases	xref_moondb	MoonDB
uniprotkb	Protein Family/Group Databases	xref_moonprot	MoonProt
uniprotkb	Protein Family/Group Databases	xref_peroxibase	PeroxiBase
uniprotkb	Protein Family/Group Databases	xref_rebase	REBASE
uniprotkb	Protein Family/Group Databases	xref_tcdb	TCDB
uniprotkb	Protein Family/Group Databases	xref_unilectin	UniLectin
uniprotkb	Ptm Databases	xref_carbonyldb	CarbonylDB
uniprotkb	Ptm Databases	xref_depod	DEPOD
uniprotkb	Ptm Databases	xref_glyconnect	GlyConnect
uniprotkb	Ptm Databases	xref_glygen	GlyGen
uniprotkb	Ptm Databases	xref_metosite	MetOSite
uniprotkb	Ptm Databases	xref_phosphositeplus	PhosphoSitePlus
uniprotkb	Ptm Databases	xref_swisspalm	SwissPalm
uniprotkb	Ptm Databases	xref_unicarbkb	UniCarbKB
uniprotkb	Ptm Databases	xref_iptmnet	iPTMnet
uniprotkb	Genetic Variation Databases	xref_biomuta	BioMuta
uniprotkb	Genetic Variation Databases	xref_dmdm	DMDM
uniprotkb	Genetic Variation Databases	xref_dbsnp	dbSNP
uniprotkb	2D Gel Databases	xref_compluyeast-2dpage	COMPLUYEAST-2DPAGE
uniprotkb	2D Gel Databases	xref_dosac-cobs-2dpage	DOSAC-COBS-2DPAGE
uniprotkb	2D Gel Databases	xref_ogp	OGP
uniprotkb	2D Gel Databases	xref_reproduction-2dpage	REPRODUCTION-2DPAGE
uniprotkb	2D Gel Databases	xref_swiss-2dpage	SWISS-2DPAGE
uniprotkb	2D Gel Databases	xref_ucd-2dpage	UCD-2DPAGE
uniprotkb	2D Gel Databases	xref_world-2dpage	World-2DPAGE
uniprotkb	Proteomic Databases	xref_cptac	CPTAC
uniprotkb	Proteomic Databases	xref_epd	EPD
uniprotkb	Proteomic Databases	xref_massive	MassIVE
uniprotkb	Proteomic Databases	xref_maxqb	MaxQB
uniprotkb	Proteomic Databases	xref_pride	PRIDE
uniprotkb	Proteomic Databases	xref_paxdb	PaxDb
uniprotkb	Proteomic Databases	xref_peptideatlas	PeptideAtlas
uniprotkb	Proteomic Databases	xref_promex	ProMEX
uniprotkb	Proteomic Databases	xref_proteomicsdb	ProteomicsDB
uniprotkb	Proteomic Databases	xref_topdownproteomics	TopDownProteomics
uniprotkb	Proteomic Databases	xref_jpost	jPOST
uniprotkb	Protocols And Materials Databases	xref_abcd	ABCD
uniprotkb	Protocols And Materials Databases	xref_antibodypedia	Antibodypedia
uniprotkb	Protocols And Materials Databases	xref_cptc	CPTC
uniprotkb	Protocols And Materials Databases	xref_dnasu	DNASU
uniprotkb	Genome Annotation Databases	xref_ensembl	Ensembl
uniprotkb	Genome Annotation Databases	xref_ensemblbacteria	EnsemblBacteria
uniprotkb	Genome Annotation Databases	xref_ensemblfungi	EnsemblFungi
uniprotkb	Genome Annotation Databases	xref_ensemblmetazoa	EnsemblMetazoa
uniprotkb	Genome Annotation Databases	xref_ensemblplants	EnsemblPlants
uniprotkb	Genome Annotation Databases	xref_ensemblprotists	EnsemblProtists
uniprotkb	Genome Annotation Databases	xref_geneid	GeneID
uniprotkb	Genome Annotation Databases	xref_gramene	Gramene
uniprotkb	Genome Annotation Databases	xref_kegg	KEGG
uniprotkb	Genome Annotation Databases	xref_mane-select	MANE-Select
uniprotkb	Genome Annotation Databases	xref_patric	PATRIC
uniprotkb	Genome Annotation Databases	xref_ucsc	UCSC
uniprotkb	Genome Annotation Databases	xref_vectorbase	VectorBase
uniprotkb	Genome Annotation Databases	xref_wbparasite	WBParaSite
uniprotkb	Genome Annotation Databases	xref_wbparasitetranscriptprotein	WBParaSiteTranscriptProtein
uniprotkb	Organism-Specific Databases	xref_arachnoserver	ArachnoServer
uniprotkb	Organism-Specific Databases	xref_araport	Araport
uniprotkb	Organism-Specific Databases	xref_cgd	CGD
uniprotkb	Organism-Specific Databases	xref_ctd	CTD
uniprotkb	Organism-Specific Databases	xref_conoserver	ConoServer
uniprotkb	Organism-Specific Databases	xref_disgenet	DisGeNET
uniprotkb	Organism-Specific Databases	xref_echobase	EchoBASE
uniprotkb	Organism-Specific Databases	xref_flybase	FlyBase
uniprotkb	Organism-Specific Databases	xref_genecards	GeneCards
uniprotkb	Organism-Specific Databases	xref_genereviews	GeneReviews
uniprotkb	Organism-Specific Databases	xref_hgnc	HGNC
uniprotkb	Organism-Specific Databases	xref_hpa	HPA
uniprotkb	Organism-Specific Databases	xref_legiolist	LegioList
uniprotkb	Organism-Specific Databases	xref_leproma	Leproma
uniprotkb	Organism-Specific Databases	xref_mgi	MGI
uniprotkb	Organism-Specific Databases	xref_mim	MIM
uniprotkb	Organism-Specific Databases	xref_maizegdb	MaizeGDB
uniprotkb	Organism-Specific Databases	xref_malacards	MalaCards
uniprotkb	Organism-Specific Databases	xref_niagads	NIAGADS
uniprotkb	Organism-Specific Databases	xref_opentargets	OpenTargets
uniprotkb	Organism-Specific Databases	xref_orphanet	Orphanet
uniprotkb	Organism-Specific Databases	xref_pharmgkb	PharmGKB
uniprotkb	Organism-Specific Databases	xref_pombase	PomBase
uniprotkb	Organism-Specific Databases	xref_pseudocap	PseudoCAP
uniprotkb	Organism-Specific Databases	xref_rgd	RGD
uniprotkb	Organism-Specific Databases	xref_sgd	SGD
uniprotkb	Organism-Specific Databases	xref_tair	TAIR
uniprotkb	Organism-Specific Databases	xref_tuberculist	TubercuList
uniprotkb	Organism-Specific Databases	xref_veupathdb	VEuPathDB
uniprotkb	Organism-Specific Databases	xref_vgnc	VGNC
uniprotkb	Organism-Specific Databases	xref_wormbase	WormBase
uniprotkb	Organism-Specific Databases	xref_xenbase	Xenbase
uniprotkb	Organism-Specific Databases	xref_zfin	ZFIN
uniprotkb	Organism-Specific Databases	xref_dictybase	dictyBase
uniprotkb	Organism-Specific Databases	xref_euhcvdb	euHCVdb
uniprotkb	Organism-Specific Databases	xref_nextprot	neXtProt
uniprotkb	Phylogenomic Databases	xref_genetree	GeneTree
uniprotkb	Phylogenomic Databases	xref_hogenom	HOGENOM
uniprotkb	Phylogenomic Databases	xref_inparanoid	InParanoid
uniprotkb	Phylogenomic Databases	xref_ko	KO
uniprotkb	Phylogenomic Databases	xref_oma	OMA
uniprotkb	Phylogenomic Databases	xref_orthodb	OrthoDB
uniprotkb	Phylogenomic Databases	xref_phylomedb	PhylomeDB
uniprotkb	Phylogenomic Databases	xref_treefam	TreeFam
uniprotkb	Phylogenomic Databases	xref_eggnog	eggNOG
uniprotkb	Enzyme And Pathway Databases	xref_brenda	BRENDA
uniprotkb	Enzyme And Pathway Databases	xref_biocyc	BioCyc
uniprotkb	Enzyme And Pathway Databases	xref_pathwaycommons	PathwayCommons
uniprotkb	Enzyme And Pathway Databases	xref_plantreactome	PlantReactome
uniprotkb	Enzyme And Pathway Databases	xref_reactome	Reactome
uniprotkb	Enzyme And Pathway Databases	xref_sabio-rk	SABIO-RK
uniprotkb	Enzyme And Pathway Databases	xref_signor	SIGNOR
uniprotkb	Enzyme And Pathway Databases	xref_signalink	SignaLink
uniprotkb	Enzyme And Pathway Databases	xref_unipathway	UniPathway
uniprotkb	Miscellaneous Databases	xref_biogrid-orcs	BioGRID-ORCS
uniprotkb	Miscellaneous Databases	xref_chitars	ChiTaRS
uniprotkb	Miscellaneous Databases	xref_evolutionarytrace	EvolutionaryTrace
uniprotkb	Miscellaneous Databases	xref_genewiki	GeneWiki
uniprotkb	Miscellaneous Databases	xref_genomernai	GenomeRNAi
uniprotkb	Miscellaneous Databases	xref_phi-base	PHI-base
uniprotkb	Miscellaneous Databases	xref_pro	PRO
uniprotkb	Miscellaneous Databases	xref_pharos	Pharos
uniprotkb	Miscellaneous Databases	xref_rnact	RNAct
uniprotkb	Gene Expression Databases	xref_bgee	Bgee
uniprotkb	Gene Expression Databases	xref_cleanex	CleanEx
uniprotkb	Gene Expression Databases	xref_collectf	CollecTF
uniprotkb	Gene Expression Databases	xref_expressionatlas	ExpressionAtlas
uniprotkb	Gene Expression Databases	xref_genevisible	Genevisible
uniprotkb	Family And Domain Databases	xref_cdd	CDD
uniprotkb	Family And Domain Databases	xref_disprot	DisProt
uniprotkb	Family And Domain Databases	xref_gene3d	Gene3D
uniprotkb	Family And Domain Databases	xref_hamap	HAMAP
uniprotkb	Family And Domain Databases	xref_ideal	IDEAL
uniprotkb	Family And Domain Databases	xref_interpro	InterPro
uniprotkb	Family And Domain Databases	xref_panther	PANTHER
uniprotkb	Family And Domain Databases	xref_pirsf	PIRSF
uniprotkb	Family And Domain Databases	xref_prints	PRINTS
uniprotkb	Family And Domain Databases	xref_prosite	PROSITE
uniprotkb	Family And Domain Databases	xref_pfam	Pfam
uniprotkb	Family And Domain Databases	xref_prodom	ProDom
uniprotkb	Family And Domain Databases	xref_sfld	SFLD
uniprotkb	Family And Domain Databases	xref_smart	SMART
uniprotkb	Family And Domain Databases	xref_supfam	SUPFAM
uniprotkb	Family And Domain Databases	xref_tigrfams	TIGRFAMs
uniref	Names & Taxonomy	id	Cluster ID
uniref	Names & Taxonomy	name	Cluster Name
uniref	Names & Taxonomy	common_taxon	Common taxon
uniref	Names & Taxonomy	common_taxonid	Common taxon ID
uniref	Names & Taxonomy	organism_id	Organism IDs
uniref	Names & Taxonomy	organism	Organisms
uniref	Sequences	identity	Identity
uniref	Sequences	length	Length
uniref	Sequences	sequence	Reference sequence
uniref	Miscellaneous	types	Types
uniref	Miscellaneous	members	Cluster members
uniref	Miscellaneous	count	Size
uniref	Date of	created	Date of creation
uniparc	Names & Taxonomy	upi	Entry
uniparc	Names & Taxonomy	gene	Gene names
uniparc	Names & Taxonomy	organism_id	Organism ID
uniparc	Names & Taxonomy	organism	Organisms
uniparc	Names & Taxonomy	protein	Protein names
uniparc	Names & Taxonomy	proteome	Proteomes
uniparc	Sequences	checksum	Checksum
uniparc	Sequences	length	Length
uniparc	Sequences	sequence	Sequence
uniparc	Miscellaneous	accession	UniProtKB
uniparc	Date of	first_seen	First seen
uniparc	Date of	last_seen	Last seen
uniparc	Family & Domains	CDD	CDD
uniparc	Family & Domains	Gene3D	Gene3D
uniparc	Family & Domains	HAMAP	HAMAP
uniparc	Family & Domains	PANTHER	PANTHER
uniparc	Family & Domains	Pfam	Pfam
uniparc	Family & Domains	PIRSF	PIRSF
uniparc	Family & Domains	PRINTS	PRINTS
uniparc	Family & Domains	PROSITE	PROSITE
uniparc	Family & Domains	SFLD	SFLD
uniparc	Family & Domains	SMART	SMART
uniparc	Family & Domains	SUPFAM	SUPFAM
uniparc	Family & Domains	TIGRFAMs	TIGRFAMs
proteomes	Names & Taxonomy	upid	Proteome Id
proteomes	Names & Taxonomy	organism	Organism
proteomes	Names & Taxonomy	organism_id	Organism Id
proteomes	Names & Taxonomy	components	Components
proteomes	Names & Taxonomy	mnemonic	Taxon mnemonic
proteomes	Names & Taxonomy	lineage	Taxonomic lineage
proteomes	Names & Taxonomy	busco	BUSCO
proteomes	Miscellaneous	cpd	CPD
proteomes	Miscellaneous	genome_assembly	Genome assembly ID
proteomes	Miscellaneous	genome_representation	Genome representation
proteomes	Miscellaneous	protein_count	Protein count
taxonomy	Taxonomy	id	Taxon Id
taxonomy	Taxonomy	mnemonic	Mnemonic
taxonomy	Taxonomy	scientific_name	Scientific name
taxonomy	Taxonomy	common_name	Common name
taxonomy	Taxonomy	synonyms	Synonyms
taxonomy	Taxonomy	other_names	Other Names
taxonomy	Taxonomy	rank	Rank
taxonomy	Taxonomy	reviewed	Reviewed
taxonomy	Taxonomy	lineage	Lineage
taxonomy	Taxonomy	strains	Strains
taxonomy	Taxonomy	parent	Parent
taxonomy	Taxonomy	hosts	Virus hosts
taxonomy	Taxonomy	links	Links
taxonomy	Taxonomy	statistics	Statistics
keywords	Keywords	id	Keyword ID
keywords	Keywords	name	Name
keywords	Keywords	definition	Definition
keywords	Keywords	category	Category
keywords	Keywords	synonyms	Synonyms
keywords	Keywords	gene_ontologies	Gene Ontologies
keywords	Keywords	links	Links
keywords	Keywords	children	Children
keywords	Keywords	parents	Parents
keywords	Keywords	statistics	Statistics
citations	Literature	id	Citation Id
citations	Literature	doi	Doi
citations	Literature	title	Title
citations	Literature	authors	Authors
citations	Literature	authoring_group	Authoring Group
citations	Literature	journal	Journal
citations	Literature	publication_date	Publication date
citations	Literature	first_page	First page
citations	Literature	last_page	Last page
citations	Literature	volume	Volume
citations	Literature	reference	Reference
citations	Literature	lit_abstract	Abstract/Summary
citations	Literature	statistics	Statistics
diseases	Disease	id	DiseaseEntry ID
diseases	Disease	name	Name
diseases	Disease	acronym	Mnemonic
diseases	Disease	definition	Description
diseases	Disease	alternative_names	Alternative Names
diseases	Disease	cross_references	Cross Reference
diseases	Disease	keywords	Keywords
diseases	Disease	statistics	Statistics
locations	Subcellular location	id	Subcellular location ID
locations	Subcellular location	name	Name
locations	Subcellular location	definition	Description
locations	Subcellular location	category	Category
locations	Subcellular location	keyword	Keyword
locations	Subcellular location	synonyms	Synonyms
locations	Subcellular location	content	Content
locations	Subcellular location	gene_ontologies	Gene Ontologies
locations	Subcellular location	note	Note
locations	Subcellular location	references	References
locations	Subcellular location	links	Links
locations	Subcellular location	is_a	Is a
locations	Subcellular location	part_of	Is part of
locations	Subcellular location	statistics	Statistics
